setting,factor,factor_value,board_size,survival_threshold,police_policy,thief_policy,games,capture_rate,wilson_95_low,wilson_95_high,capture_rate_variance_across_seeds,mean_police_score,mean_thief_score,mean_police_actions,mean_thief_actions,mean_barriers_placed,illegal_action_count
board_7_survival_35,baseline,0,7,35,ScentTacticalPolice,BarrierAwareThief,120,1.0,0.96898083,1.0,0.0,20.0,5.0,7.375,7.375,1.43333333,0
board_7_survival_35,baseline,0,7,35,ScentTacticalPolice,ScentEvasionThief,120,0.84166667,0.76590668,0.89623023,0.03881944,17.625,5.79166667,18.875,19.03333333,2.70833333,0
board_7_survival_35,baseline,0,7,35,ScentGreedyPolice,BarrierAwareThief,120,1.0,0.96898083,1.0,0.0,20.0,5.0,7.75833333,7.75833333,1.0,0
board_7_survival_35,baseline,0,7,35,ScentGreedyPolice,ScentEvasionThief,120,0.76666667,0.68344553,0.83334425,0.05666667,16.5,6.16666667,19.74166667,19.975,0.76666667,0
board_9_survival_35,board_size,9,9,35,ScentTacticalPolice,BarrierAwareThief,120,0.98333333,0.94126404,0.99541744,0.00527778,19.75,5.08333333,13.63333333,13.65,1.675,0
board_9_survival_35,board_size,9,9,35,ScentTacticalPolice,ScentEvasionThief,120,0.73333333,0.64787561,0.80431545,0.10111111,16.0,6.33333333,23.525,23.79166667,2.75833333,0
board_9_survival_35,board_size,9,9,35,ScentGreedyPolice,BarrierAwareThief,120,0.99166667,0.95430371,0.99852744,0.00270833,19.875,5.04166667,13.2,13.20833333,0.99166667,0
board_9_survival_35,board_size,9,9,35,ScentGreedyPolice,ScentEvasionThief,120,0.73333333,0.64787561,0.80431545,0.07888889,16.0,6.33333333,22.69166667,22.95833333,0.73333333,0
board_11_survival_35,board_size,11,11,35,ScentTacticalPolice,BarrierAwareThief,120,0.825,0.7472429,0.88259464,0.044375,17.375,5.875,21.70833333,21.88333333,1.71666667,0
board_11_survival_35,board_size,11,11,35,ScentTacticalPolice,ScentEvasionThief,120,0.60833333,0.51893782,0.69100803,0.099375,14.125,6.95833333,26.28333333,26.675,2.73333333,0
board_11_survival_35,board_size,11,11,35,ScentGreedyPolice,BarrierAwareThief,120,0.98333333,0.94126404,0.99541744,0.00527778,19.75,5.08333333,19.825,19.84166667,0.98333333,0
board_11_survival_35,board_size,11,11,35,ScentGreedyPolice,ScentEvasionThief,120,0.65833333,0.56974831,0.73709562,0.07493056,14.875,6.70833333,25.14166667,25.48333333,0.65833333,0
board_7_survival_50,survival_threshold,50,7,50,ScentTacticalPolice,BarrierAwareThief,120,1.0,0.96898083,1.0,0.0,20.0,5.0,7.375,7.375,1.43333333,0
board_7_survival_50,survival_threshold,50,7,50,ScentTacticalPolice,ScentEvasionThief,120,0.975,0.92906997,0.99146183,0.00770833,19.625,5.125,20.00833333,20.03333333,2.79166667,0
board_7_survival_50,survival_threshold,50,7,50,ScentGreedyPolice,BarrierAwareThief,120,1.0,0.96898083,1.0,0.0,20.0,5.0,7.75833333,7.75833333,1.0,0
board_7_survival_50,survival_threshold,50,7,50,ScentGreedyPolice,ScentEvasionThief,120,0.89166667,0.8234464,0.93558859,0.03548611,18.375,5.54166667,22.31666667,22.425,0.89166667,0
board_7_survival_70,survival_threshold,70,7,70,ScentTacticalPolice,BarrierAwareThief,120,1.0,0.96898083,1.0,0.0,20.0,5.0,7.375,7.375,1.43333333,0
board_7_survival_70,survival_threshold,70,7,70,ScentTacticalPolice,ScentEvasionThief,120,1.0,0.96898083,1.0,0.0,20.0,5.0,20.175,20.175,2.8,0
board_7_survival_70,survival_threshold,70,7,70,ScentGreedyPolice,BarrierAwareThief,120,1.0,0.96898083,1.0,0.0,20.0,5.0,7.75833333,7.75833333,1.0,0
board_7_survival_70,survival_threshold,70,7,70,ScentGreedyPolice,ScentEvasionThief,120,0.94166667,0.88447408,0.97145899,0.02159722,19.125,5.29166667,23.80833333,23.86666667,0.94166667,0
